2025-12-11 17:31:28 | INFO | runscripts | Starting experiment-run with RunID: 20251211173128
2025-12-11 17:31:47 | INFO | runscripts | Using existing experiment RunID: 20251211173128
2025-12-11 17:31:47 | INFO | runscripts | Phase 1: Running initial experiments
2025-12-11 17:31:47 | INFO | runscripts | Starting initial experiment: version_extractor
2025-12-11 17:31:47 | INFO | runscripts | Running scripts/version_extractor/main.py with device=sinq20
2025-12-11 17:31:48 | INFO | runscripts | [version_extractor] Warning: Could not load run_id: [Errno 13] Permission denied: '/mnt/home/Scinawa/CQT-reporting/scripts/current_experiment_id.json'
2025-12-11 17:31:48 | INFO | runscripts | Finished scripts/version_extractor/main.py
2025-12-11 17:31:48 | INFO | runscripts | Starting initial experiment: bell_tomography
2025-12-11 17:31:48 | INFO | runscripts | Running scripts/bell_tomography/main.py with device=sinq20
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography] KEYSIGHT SOFTWARE END-USER LICENSE AGREEMENT
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography]         ATTENTION: THE SOFTWARE IS SUBJECT TO THE END-USER LICENSE AGREEMENT
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography]         (\"EULA\") SET FORTH BELOW.
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography] 
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography]         TO INSTALL OR USE THE SOFTWARE, YOU MUST FIRST AGREE TO THIS EULA.
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography]         IF THIS EULA IS PRESENTED TO YOU ELECTRONICALLY AND IF YOU HAVE READ,
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography]         UNDERSTAND, AND AGREE TO BE BOUND BY ITS TERMS, CLICK \"AGREE\".
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography]         IF THIS EULA IS PRESENTED TO YOU IN A HARD COPY FORMAT, BY POWERING
2025-12-11 17:31:50 | INFO | runscripts | [bell_tomography]         ON AND USING THE COMPUTER, INSTRUMENT, OR MACHINE, YOU AGREE THAT
